name	tradition	type	provenance	status	reviewer
EMEKA	igbo	first	generator-pool	reviewed	David Akinboro
ENIOLA	yoruba	first	generator-pool	reviewed	David Akinboro
EZE	igbo	surname	generator-pool	reviewed	David Akinboro
EZINNE	igbo	first	generator-pool	reviewed	David Akinboro
FASANYA	yoruba	surname	generator-pool	reviewed	David Akinboro
FATIMA	hausa	first	generator-pool	reviewed	David Akinboro
FEMI	yoruba	first	generator-pool	reviewed	David Akinboro
FOLA	yoruba	first	common-usage	reviewed	David Akinboro
FOLAKE	yoruba	first	generator-pool	reviewed	David Akinboro
FUNMILAYO	yoruba	first	generator-pool	reviewed	David Akinboro
GARBA	hausa	first	generator-pool	reviewed	David Akinboro
GBENGA	yoruba	first	generator-pool	reviewed	David Akinboro
GINIKA	igbo	first	generator-pool	reviewed	David Akinboro
HADIZA	hausa	first	generator-pool	reviewed	David Akinboro
HAFSAT	hausa	first	generator-pool	reviewed	David Akinboro
HALIMA	hausa	first	generator-pool	reviewed	David Akinboro
HAMZA	hausa	first	generator-pool	reviewed	David Akinboro
HASSAN	hausa	first	generator-pool	reviewed	David Akinboro
HAUWA	hausa	first	generator-pool	reviewed	David Akinboro
IBRAHIM	hausa	first	generator-pool	reviewed	David Akinboro
IDOWU	yoruba	first	common-usage	reviewed	David Akinboro
IDRIS	hausa	surname	generator-pool	reviewed	David Akinboro
IFEANYI	igbo	first	common-usage	reviewed	David Akinboro
IFEANYICHUKWU	igbo	first	common-usage	reviewed	David Akinboro
IFEOLUWA	yoruba	first	common-usage	reviewed	David Akinboro
IFEOMA	igbo	first	generator-pool	reviewed	David Akinboro
IFY	igbo	first	generator-pool	reviewed	David Akinboro
IGWE	igbo	surname	generator-pool	reviewed	David Akinboro
IKE	igbo	first	generator-pool	reviewed	David Akinboro
IKECHUKWU	igbo	first	generator-pool	reviewed	David Akinboro
ISMAIL	hausa	first	generator-pool	reviewed	David Akinboro
JAMILA	hausa	first	generator-pool	reviewed	David Akinboro
JIDE	yoruba	first	generator-pool	reviewed	David Akinboro
KABIRU	hausa	first	generator-pool	reviewed	David Akinboro
KAYODE	yoruba	first	generator-pool	reviewed	David Akinboro
KEHINDE	yoruba	first	common-usage	reviewed	David Akinboro
KELE	igbo	first	common-usage	reviewed	David Akinboro
KELECHUKWU	igbo	first	common-usage	reviewed	David Akinboro
KENE	igbo	first	generator-pool	reviewed	David Akinboro
KENECHUKWU	igbo	first	generator-pool	reviewed	David Akinboro
KHADIJA	hausa	first	generator-pool	reviewed	David Akinboro
KOLA	yoruba	first	common-usage	reviewed	David Akinboro
KOSI	igbo	first	generator-pool	reviewed	David Akinboro
KUNLE	yoruba	first	generator-pool	reviewed	David Akinboro
LANRE	yoruba	first	generator-pool	reviewed	David Akinboro
LAWAL	hausa	surname	generator-pool	reviewed	David Akinboro
LOLA	yoruba	first	generator-pool	reviewed	David Akinboro
LOTANNA	igbo	first	generator-pool	reviewed	David Akinboro
MARYAM	hausa	first	generator-pool	reviewed	David Akinboro
MGBEMENA	igbo	surname	generator-pool	reviewed	David Akinboro
MIDE	yoruba	first	common-usage	reviewed	David Akinboro
MOHAMMED	hausa	first	generator-pool	reviewed	David Akinboro
MOJI	yoruba	first	common-usage	reviewed	David Akinboro
MORENIKE	yoruba	first	generator-pool	reviewed	David Akinboro
MOTUNRAYO	yoruba	first	generator-pool	reviewed	David Akinboro
MUHAMMAD	hausa	first	common-usage	reviewed	David Akinboro
MUSA	hausa	first	generator-pool	reviewed	David Akinboro
NANA	hausa	first	generator-pool	reviewed	David Akinboro
NGOZI	igbo	first	generator-pool	reviewed	David Akinboro
NGOZICHUKWU	igbo	first	common-usage	reviewed	David Akinboro
NIKE	yoruba	first	generator-pool	reviewed	David Akinboro
NIYI	yoruba	first	generator-pool	reviewed	David Akinboro
NKE	igbo	first	generator-pool	reviewed	David Akinboro
NKECHI	igbo	first	generator-pool	reviewed	David Akinboro
NNA	igbo	first	generator-pool	reviewed	David Akinboro
NNAJI	igbo	surname	generator-pool	reviewed	David Akinboro
NNAMDI	igbo	first	generator-pool	reviewed	David Akinboro
NNEKA	igbo	first	generator-pool	reviewed	David Akinboro
NONSO	igbo	first	generator-pool	reviewed	David Akinboro
NWACHUKWU	igbo	surname	generator-pool	reviewed	David Akinboro
NWANKWO	igbo	surname	generator-pool	reviewed	David Akinboro
NWOSU	igbo	surname	generator-pool	reviewed	David Akinboro
OBI	igbo	first	generator-pool	reviewed	David Akinboro
OBIAGELI	igbo	first	generator-pool	reviewed	David Akinboro
OBINNA	igbo	first	common-usage	reviewed	David Akinboro
OBIORA	igbo	first	generator-pool	reviewed	David Akinboro
OGBONNA	igbo	surname	generator-pool	reviewed	David Akinboro
OGUNDELE	yoruba	surname	generator-pool	reviewed	David Akinboro
OGUNDIMU	yoruba	surname	generator-pool	reviewed	David Akinboro
OGUNLEYE	yoruba	surname	generator-pool	reviewed	David Akinboro
OGUNYEMI	yoruba	surname	generator-pool	reviewed	David Akinboro
OJO	yoruba	surname	generator-pool	reviewed	David Akinboro
OKAFOR	igbo	surname	generator-pool	reviewed	David Akinboro
OKEKE	igbo	surname	generator-pool	reviewed	David Akinboro
OKONKWO	igbo	surname	generator-pool	reviewed	David Akinboro
OLADIPO	yoruba	surname	generator-pool	reviewed	David Akinboro
OLAMIDE	yoruba	first	generator-pool	reviewed	David Akinboro
OLANREWAJU	yoruba	first	generator-pool	reviewed	David Akinboro
OLAYINKA	yoruba	first	generator-pool	reviewed	David Akinboro
OLUCHI	igbo	first	generator-pool	reviewed	David Akinboro
OLUMIDE	yoruba	first	generator-pool	reviewed	David Akinboro
OLUWABUNMI	yoruba	first	generator-pool	reviewed	David Akinboro
OLUWADAMILARE	yoruba	first	common-usage	reviewed	David Akinboro
OLUWAFEMI	yoruba	first	generator-pool	reviewed	David Akinboro
OLUWASEUN	yoruba	first	generator-pool	reviewed	David Akinboro
OLUWATOBI	yoruba	first	generator-pool	reviewed	David Akinboro
OMOLOLA	yoruba	first	generator-pool	reviewed	David Akinboro
ONIFADE	yoruba	surname	generator-pool	reviewed	David Akinboro
ONYINYECHI	igbo	first	generator-pool	reviewed	David Akinboro
OWOLABI	yoruba	surname	generator-pool	reviewed	David Akinboro
OYELARAN	yoruba	surname	generator-pool	reviewed	David Akinboro
OYENEKAN	yoruba	surname	generator-pool	reviewed	David Akinboro
RABI	hausa	first	generator-pool	reviewed	David Akinboro
RABIU	hausa	surname	generator-pool	reviewed	David Akinboro
RONKE	yoruba	first	generator-pool	reviewed	David Akinboro
SADE	yoruba	first	common-usage	reviewed	David Akinboro
SADIQ	hausa	first	generator-pool	reviewed	David Akinboro
SAFIYA	hausa	first	generator-pool	reviewed	David Akinboro
SALAMATU	hausa	first	generator-pool	reviewed	David Akinboro
SALAMI	yoruba	surname	generator-pool	reviewed	David Akinboro
SANI	hausa	surname	generator-pool	reviewed	David Akinboro
SEGUN	yoruba	first	common-usage	reviewed	David Akinboro
SEUN	yoruba	first	generator-pool	reviewed	David Akinboro
SEWA	yoruba	first	generator-pool	reviewed	David Akinboro
SEYI	yoruba	first	common-usage	reviewed	David Akinboro
SHEHU	hausa	surname	generator-pool	reviewed	David Akinboro
SHOLA	yoruba	first	common-usage	reviewed	David Akinboro
SIKIRA	yoruba	first	common-usage	reviewed	David Akinboro
SIMI	yoruba	first	common-usage	reviewed	David Akinboro
SOLA	yoruba	first	common-usage	reviewed	David Akinboro
SOMADINA	igbo	first	generator-pool	reviewed	David Akinboro
SOMTO	igbo	first	common-usage	reviewed	David Akinboro
SOMTOCHUKWU	igbo	first	generator-pool	reviewed	David Akinboro
SULEIMAN	hausa	first	generator-pool	reviewed	David Akinboro
TAIWO	yoruba	first	common-usage	reviewed	David Akinboro
TANKO	hausa	surname	generator-pool	reviewed	David Akinboro
TAYO	yoruba	first	common-usage	reviewed	David Akinboro
TEMI	yoruba	first	common-usage	reviewed	David Akinboro
TEMILOLA	yoruba	first	generator-pool	reviewed	David Akinboro
TEMILOLUWA	yoruba	first	common-usage	reviewed	David Akinboro
TEMITOPE	yoruba	first	generator-pool	reviewed	David Akinboro
TITI	yoruba	first	common-usage	reviewed	David Akinboro
TITILAYO	yoruba	first	generator-pool	reviewed	David Akinboro
TOBI	yoruba	first	generator-pool	reviewed	David Akinboro
TOCHUKWU	igbo	first	generator-pool	reviewed	David Akinboro
TOLA	yoruba	first	common-usage	reviewed	David Akinboro
TOLANI	yoruba	first	generator-pool	reviewed	David Akinboro
TOPE	yoruba	first	common-usage	reviewed	David Akinboro
TOSIN	yoruba	first	common-usage	reviewed	David Akinboro
TOYIN	yoruba	first	common-usage	reviewed	David Akinboro
TUNDE	yoruba	first	generator-pool	reviewed	David Akinboro
UCHE	igbo	first	common-usage	reviewed	David Akinboro
UCHECHUKWU	igbo	first	common-usage	reviewed	David Akinboro
UCHENNA	igbo	first	generator-pool	reviewed	David Akinboro
UDOKA	igbo	surname	generator-pool	reviewed	David Akinboro
UGO	igbo	first	common-usage	reviewed	David Akinboro
UGOCHUKWU	igbo	first	common-usage	reviewed	David Akinboro
USMAN	hausa	first	generator-pool	reviewed	David Akinboro
UZOAMAKA	igbo	first	generator-pool	reviewed	David Akinboro
UZOMA	igbo	first	generator-pool	reviewed	David Akinboro
UZOR	igbo	surname	generator-pool	reviewed	David Akinboro
WALE	yoruba	first	generator-pool	reviewed	David Akinboro
WAZIRI	hausa	surname	generator-pool	reviewed	David Akinboro
WUNMI	yoruba	first	common-usage	reviewed	David Akinboro
YEMI	yoruba	first	common-usage	reviewed	David Akinboro
YETUNDE	yoruba	first	generator-pool	reviewed	David Akinboro
YINKA	yoruba	first	common-usage	reviewed	David Akinboro
YUSUF	hausa	first	generator-pool	reviewed	David Akinboro
ZAINAB	hausa	first	generator-pool	reviewed	David Akinboro
IFE	yoruba	first	common-usage	reviewed	David Akinboro
OLUWA	yoruba	first	common-usage	reviewed	David Akinboro
OMA	igbo	first	common-usage	reviewed	David Akinboro
LAMIDE	yoruba	first	common-usage	reviewed	David Akinboro
DEBAYO	yoruba	first	common-usage	reviewed	David Akinboro
NWA	igbo	first	common-usage	reviewed	David Akinboro
ANYI	igbo	first	common-usage	reviewed	David Akinboro
TOCHI	igbo	first	common-usage	reviewed	David Akinboro
ADETOKUNBO	yoruba	first	wikipedia	reviewed	David Akinboro
AFOLAYAN	yoruba	first	wikipedia	reviewed	David Akinboro
AKINFOLARIN	yoruba	first	wikipedia	reviewed	David Akinboro
ARINZECHUKWU	igbo	first	wikipedia	reviewed	David Akinboro
EBERECHI	igbo	first	wikipedia	reviewed	David Akinboro
OGUNMOLA	yoruba	first	wikipedia	reviewed	David Akinboro
OLADAPO	yoruba	first	wikipedia	reviewed	David Akinboro
OLATOKUNBO	yoruba	first	wikipedia	reviewed	David Akinboro
OLATUNJI	yoruba	first	wikipedia	reviewed	David Akinboro
OLUMUYIWA	yoruba	first	wikipedia	reviewed	David Akinboro
OLUROTIMI	yoruba	first	wikipedia	reviewed	David Akinboro
OMOLADE	yoruba	first	wikipedia	reviewed	David Akinboro
ADEDAYO	yoruba	first	wikipedia	reviewed	David Akinboro
ADELOLA	yoruba	first	wikipedia	reviewed	David Akinboro
ADEMOLA	yoruba	surname	wikipedia	reviewed	David Akinboro
AKINTOLA	yoruba	surname	wikipedia	reviewed	David Akinboro
BABALOLA	yoruba	first	wikipedia	reviewed	David Akinboro
IFEDAYO	yoruba	first	wikipedia	reviewed	David Akinboro
NNENNA	igbo	first	wikipedia	reviewed	David Akinboro
OGUNSOLA	yoruba	first	wikipedia	reviewed	David Akinboro
OLUSHOLA	yoruba	first	wikipedia	reviewed	David Akinboro
OLUSOLA	yoruba	first	wikipedia	reviewed	David Akinboro
UCHECHI	igbo	first	wikipedia	reviewed	David Akinboro
ABIMBOLA	yoruba	surname	wikipedia	reviewed	David Akinboro
ABIOLA	yoruba	surname	wikipedia	reviewed	David Akinboro
ADANNA	igbo	first	wikipedia	reviewed	David Akinboro
AGBOOLA	yoruba	first	wikipedia	reviewed	David Akinboro
ANEKE	igbo	first	wikipedia	reviewed	David Akinboro
BISOLA	yoruba	first	wikipedia	reviewed	David Akinboro
DARAMOLA	yoruba	first	wikipedia	reviewed	David Akinboro
EBUNOLUWA	yoruba	first	wikipedia	reviewed	David Akinboro
EKUNDAYO	yoruba	first	wikipedia	reviewed	David Akinboro
EYITAYO	yoruba	first	wikipedia	reviewed	David Akinboro
FALOLA	yoruba	surname	wikipedia	reviewed	David Akinboro
FASHOLA	yoruba	surname	wikipedia	reviewed	David Akinboro
FIYINFOLUWA	yoruba	first	wikipedia	reviewed	David Akinboro
IKENNA	igbo	first	wikipedia	reviewed	David Akinboro
IWUCHUKWU	igbo	first	wikipedia	reviewed	David Akinboro
IYIOLA	yoruba	first	wikipedia	reviewed	David Akinboro
IZUCHUKWU	igbo	surname	wikipedia	reviewed	David Akinboro
KELECHI	igbo	first	wikipedia	reviewed	David Akinboro
MADUEKE	igbo	first	wikipedia	reviewed	David Akinboro
MAITAMA	hausa	first	wikipedia	reviewed	David Akinboro
MGBEKE	other	first	wikipedia	reviewed	David Akinboro
MORAYO	yoruba	first	wikipedia	reviewed	David Akinboro
MOSUNMOLA	yoruba	first	wikipedia	reviewed	David Akinboro
MUNACHI	igbo	first	wikipedia	reviewed	David Akinboro
ODUTOLA	yoruba	first	wikipedia	reviewed	David Akinboro
OGECHI	igbo	first	wikipedia	reviewed	David Akinboro
OGONNA	igbo	first	wikipedia	reviewed	David Akinboro
OKUNLOLA	yoruba	first	wikipedia	reviewed	David Akinboro
ONYEBUCHI	igbo	first	wikipedia	reviewed	David Akinboro
ONYEWUCHI	igbo	first	wikipedia	reviewed	David Akinboro
OREOLUWA	yoruba	first	wikipedia	reviewed	David Akinboro
OSINACHI	igbo	first	wikipedia	reviewed	David Akinboro
OTEDOLA	yoruba	surname	wikipedia	reviewed	David Akinboro
OYINKANSOLA	yoruba	first	wikipedia	reviewed	David Akinboro
OYINLOLA	yoruba	first	wikipedia	reviewed	David Akinboro
TANITOLUWA	yoruba	first	wikipedia	reviewed	David Akinboro
TEJUMOLA	yoruba	first	wikipedia	reviewed	David Akinboro
UDECHUKWU	igbo	first	wikipedia	reviewed	David Akinboro
ADEBISI	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEBOYE	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEBOYEJO	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEDAPO	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEDEJI	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEDIBU	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEDOYIN	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEFOPE	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEFUYE	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEGBENRO	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEGBITE	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEGBOYEGA	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEJOKE	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEJUYIGBE	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEKOYA	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEKUOROYE	yoruba	first	wikipedia	reviewed	David Akinboro
ADELAJA	yoruba	surname	wikipedia	reviewed	David Akinboro
ADENIKE	yoruba	first	wikipedia	reviewed	David Akinboro
ADENIRAN	yoruba	first	wikipedia	reviewed	David Akinboro
ADENUGA	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEPOJU	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEREMI	yoruba	first	wikipedia	reviewed	David Akinboro
ADERINOKUN	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEROGBA	yoruba	first	wikipedia	reviewed	David Akinboro
ADESANYA	yoruba	surname	wikipedia	reviewed	David Akinboro
ADESHINA	yoruba	first	wikipedia	reviewed	David Akinboro
ADESINA	yoruba	surname	wikipedia	reviewed	David Akinboro
ADESOJI	yoruba	surname	wikipedia	reviewed	David Akinboro
ADESOKAN	yoruba	first	wikipedia	reviewed	David Akinboro
ADESOYE	yoruba	first	wikipedia	reviewed	David Akinboro
ADEWOLE	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEWUSI	yoruba	first	wikipedia	reviewed	David Akinboro
ADEYANJU	yoruba	surname	wikipedia	reviewed	David Akinboro
ADEYEMO	yoruba	first	wikipedia	reviewed	David Akinboro
AKINBIYI	yoruba	surname	wikipedia	reviewed	David Akinboro
AKINBODE	yoruba	first	wikipedia	reviewed	David Akinboro
AKINDE	yoruba	first	wikipedia	reviewed	David Akinboro
AKINDELE	yoruba	first	wikipedia	reviewed	David Akinboro
AKINGBADE	yoruba	surname	wikipedia	reviewed	David Akinboro
AKINJO	yoruba	first	wikipedia	reviewed	David Akinboro
AKINKUGBE	yoruba	first	wikipedia	reviewed	David Akinboro
AKINLABI	yoruba	surname	wikipedia	reviewed	David Akinboro
AKINLEYE	yoruba	surname	wikipedia	reviewed	David Akinboro
AKINTUNDE	yoruba	surname	wikipedia	reviewed	David Akinboro
AKINWANDE	yoruba	surname	wikipedia	reviewed	David Akinboro
AKINWUNMI	yoruba	surname	wikipedia	reviewed	David Akinboro
AKINYELE	yoruba	first	wikipedia	reviewed	David Akinboro
AMANZE	igbo	first	wikipedia	reviewed	David Akinboro
AYOBAMIDELE	yoruba	first	wikipedia	reviewed	David Akinboro
AYODELE	yoruba	first	wikipedia	reviewed	David Akinboro
AYOKA	yoruba	first	wikipedia	reviewed	David Akinboro
AYOKUNLE	yoruba	first	wikipedia	reviewed	David Akinboro
AYORINDE	yoruba	first	wikipedia	reviewed	David Akinboro
AYOYINKA	yoruba	first	wikipedia	reviewed	David Akinboro
CHIBUIKE	igbo	first	wikipedia	reviewed	David Akinboro
CHIBUZOR	igbo	first	wikipedia	reviewed	David Akinboro
CHIDINMA	igbo	first	wikipedia	reviewed	David Akinboro
CHIJIOKE	igbo	first	wikipedia	reviewed	David Akinboro
CHIKA	igbo	first	wikipedia	reviewed	David Akinboro
CHILAKA	igbo	surname	wikipedia	reviewed	David Akinboro
CHIMAOBI	igbo	first	wikipedia	reviewed	David Akinboro
CHINONSO	igbo	first	wikipedia	reviewed	David Akinboro
CHINONYE	igbo	first	wikipedia	reviewed	David Akinboro
CHINWE	igbo	first	wikipedia	reviewed	David Akinboro
CHISOMAGA	igbo	first	wikipedia	reviewed	David Akinboro
CHUKWUEBUKA	igbo	first	wikipedia	reviewed	David Akinboro
CHUKWUKA	igbo	first	wikipedia	reviewed	David Akinboro
CHUKWUMERIJE	igbo	first	wikipedia	reviewed	David Akinboro
IFEYINWA	igbo	first	wikipedia	reviewed	David Akinboro
IYABO	yoruba	first	wikipedia	reviewed	David Akinboro
IYANDA	yoruba	first	wikipedia	reviewed	David Akinboro
NNAEMEKA	igbo	first	wikipedia	reviewed	David Akinboro
NNAMANI	igbo	first	wikipedia	reviewed	David Akinboro
NNEJI	igbo	surname	wikipedia	reviewed	David Akinboro
NWADIKE	igbo	surname	wikipedia	reviewed	David Akinboro
NWAKAEME	igbo	surname	wikipedia	reviewed	David Akinboro
NWAMAKA	igbo	first	wikipedia	reviewed	David Akinboro
NWANKPA	igbo	surname	wikipedia	reviewed	David Akinboro
NWANNEKA	igbo	first	wikipedia	reviewed	David Akinboro
NWAPA	igbo	first	wikipedia	reviewed	David Akinboro
OBIANUJU	igbo	first	wikipedia	reviewed	David Akinboro
OBIOMA	igbo	first	wikipedia	reviewed	David Akinboro
OGUNKOYA	yoruba	first	wikipedia	reviewed	David Akinboro
OGUNLADE	yoruba	first	wikipedia	reviewed	David Akinboro
OGUNLANA	yoruba	first	wikipedia	reviewed	David Akinboro
OGUNODE	yoruba	first	wikipedia	reviewed	David Akinboro
OGUNOYE	yoruba	first	wikipedia	reviewed	David Akinboro
OLABODE	yoruba	first	wikipedia	reviewed	David Akinboro
OLADELE	yoruba	first	wikipedia	reviewed	David Akinboro
OLADIMEJI	yoruba	first	wikipedia	reviewed	David Akinboro
OLADOSU	yoruba	first	wikipedia	reviewed	David Akinboro
OLADUNNI	yoruba	first	wikipedia	reviewed	David Akinboro
OLAITAN	yoruba	first	wikipedia	reviewed	David Akinboro
OLAJUMOKE	yoruba	first	wikipedia	reviewed	David Akinboro
OLAJUWON	yoruba	surname	wikipedia	reviewed	David Akinboro
OLANIPEKUN	yoruba	surname	wikipedia	reviewed	David Akinboro
OLANIYI	yoruba	first	wikipedia	reviewed	David Akinboro
OLAOYE	yoruba	first	wikipedia	reviewed	David Akinboro
OLAWALE	yoruba	first	wikipedia	reviewed	David Akinboro
OLAYEMI	yoruba	first	wikipedia	reviewed	David Akinboro
OLUBUNMI	yoruba	surname	wikipedia	reviewed	David Akinboro
OLUFUNKE	yoruba	first	wikipedia	reviewed	David Akinboro
OLUJIMI	yoruba	first	wikipedia	reviewed	David Akinboro
OLUKOYA	yoruba	first	wikipedia	reviewed	David Akinboro
OLUREMI	yoruba	first	wikipedia	reviewed	David Akinboro
OLUSEGUN	yoruba	first	wikipedia	reviewed	David Akinboro
OLUSEYE	yoruba	first	wikipedia	reviewed	David Akinboro
OLUWAFIKAYOMI	yoruba	first	wikipedia	reviewed	David Akinboro
OLUWATOYIN	yoruba	first	wikipedia	reviewed	David Akinboro
OLUWOLE	yoruba	first	wikipedia	reviewed	David Akinboro
OMOLARA	yoruba	first	wikipedia	reviewed	David Akinboro
OMOTOLANI	yoruba	first	wikipedia	reviewed	David Akinboro
ABANIKANDA	yoruba	surname	wikipedia	reviewed	David Akinboro
ABAYOMI	yoruba	surname	wikipedia	reviewed	David Akinboro
ABIKE	yoruba	surname	wikipedia	reviewed	David Akinboro
ACHIKE	igbo	surname	wikipedia	reviewed	David Akinboro
ACHOLONU	igbo	surname	wikipedia	reviewed	David Akinboro
ADAKU	igbo	first	wikipedia	reviewed	David Akinboro
ADAMOLEKUN	yoruba	surname	wikipedia	reviewed	David Akinboro
ADARABIOYO	yoruba	first	wikipedia	reviewed	David Akinboro
ADIGUN	yoruba	first	wikipedia	reviewed	David Akinboro
AGBETU	yoruba	first	wikipedia	reviewed	David Akinboro
AJIBADE	yoruba	first	wikipedia	reviewed	David Akinboro
AKANDE	yoruba	first	wikipedia	reviewed	David Akinboro
AKANJI	yoruba	surname	wikipedia	reviewed	David Akinboro
AKANNI	yoruba	first	wikipedia	reviewed	David Akinboro
AKEJU	yoruba	surname	wikipedia	reviewed	David Akinboro
AKIN	yoruba	first	wikipedia	reviewed	David Akinboro
AKOREDE	yoruba	first	wikipedia	reviewed	David Akinboro
ALADESANMI	yoruba	first	wikipedia	reviewed	David Akinboro
ALAKIJA	yoruba	surname	wikipedia	reviewed	David Akinboro
ANJORIN	yoruba	first	wikipedia	reviewed	David Akinboro
ANOZIE	igbo	first	wikipedia	reviewed	David Akinboro
ANUOLUWAPO	yoruba	first	wikipedia	reviewed	David Akinboro
ANYADIKE	igbo	surname	wikipedia	reviewed	David Akinboro
